time,DaymetV4,ACCESS-CM2_ssp585_r1i1p1f1_DBCCA_Daymet,BCC-CSM2-MR_ssp585_r1i1p1f1_DBCCA_Daymet,CNRM-ESM2-1_ssp585_r1i1p1f2_DBCCA_Daymet,MPI-ESM1-2-HR_ssp585_r1i1p1f1_DBCCA_Daymet,MRI-ESM2-0_ssp585_r1i1p1f1_DBCCA_Daymet,NorESM2-MM_ssp585_r1i1p1f1_DBCCA_Daymet
1980-06-27 12:00:00,1.9109592,0.019147854,2.1754127,0.0,4.8926754,1.2414001,1.4726198
1980-06-28 12:00:00,2.072574,0.0,0.21267858,2.28711,0.3775184,0.049979176,0.20106961
1980-06-29 12:00:00,0.10670921,0.0,0.0623165,0.45780772,34.152847,0.15718779,2.8828025
1980-06-30 12:00:00,0.0,3.3282406,19.268173,0.8905534,3.0628,0.03419945,0.0023671759
1980-07-01 12:00:00,0.0,0.037713937,17.541103,0.32680818,0.0,0.0,0.0
1980-07-02 12:00:00,0.0,1.8474199,5.3564825,3.231615,0.0,5.272144,0.5120321
1980-07-03 12:00:00,6.7698154,0.0,7.1583138,5.386299,0.0,6.322885,2.6662502
1980-07-04 12:00:00,3.8752208,0.014220051,0.05695674,2.224577,0.0025595962,0.0,0.25370204
1980-07-05 12:00:00,0.36806136,0.13653454,2.032143,10.589696,0.0,0.0,6.4816375
1980-07-06 12:00:00,0.0,0.0,23.237743,3.3869717,10.496687,5.3723154,7.9616995
1980-07-07 12:00:00,0.0,0.0049060434,18.92059,0.0,0.02019004,9.25126,13.0363035
1980-07-08 12:00:00,0.0,8.133636,13.238821,0.0,0.0,3.8616643,0.0
1980-07-09 12:00:00,1.0419924,0.98310715,0.24557255,0.52909577,0.28699255,5.3842564,0.0
1980-07-10 12:00:00,9.0411625,1.7404041,0.0,1.9073497,0.0,0.023165569,0.75538987
1980-07-11 12:00:00,4.6593103,7.8335752,0.019776423,0.0,0.039474595,1.703701,0.43670267
1980-07-12 12:00:00,0.3333161,7.35033,0.0,0.0,0.0,3.5460312,1.4790337
1980-07-13 12:00:00,1.373014,10.584383,0.11128953,0.0,1.5783869,1.3189921,1.392308
1980-07-14 12:00:00,1.9453545,7.062701,0.025990557,0.0,0.0031623826,0.0,0.0
1980-07-15 12:00:00,6.694813,1.0132406,0.057313204,0.0,6.147842,0.0,0.0
1980-07-16 12:00:00,0.013543248,0.0,0.0,0.0,0.0,0.00145194,0.0
1980-07-17 12:00:00,0.0,0.0,0.35431948,0.0,0.23357758,1.0354152,0.0
1980-07-18 12:00:00,0.0,0.6137952,3.9781399,0.0044732424,0.0,0.0,0.46749115
1980-07-19 12:00:00,0.8654698,0.0,2.81558,0.0,0.61878973,0.064968534,0.0
1980-07-20 12:00:00,0.0,0.0,2.1319025,0.0,0.0,0.0,0.104649104
1980-07-21 12:00:00,0.0,0.0,3.1268563,0.0,0.0,0.0037569283,0.009437609
1980-07-22 12:00:00,0.0,0.0,27.652893,1.1921664,0.03939546,0.0,0.0016222793
1980-07-23 12:00:00,0.0,0.0,33.872116,0.1718157,0.7415671,7.224184,0.0
1980-07-24 12:00:00,0.0,12.388992,2.38566,0.0,1.9625947,0.0,0.0
1980-07-25 12:00:00,0.0,8.226423,0.0,0.0,2.108552,0.0026551306,0.5761604
1980-07-26 12:00:00,0.0,0.2591535,21.459888,0.006594356,2.314493,0.0,0.0
1980-07-27 12:00:00,0.0,0.0,0.75999475,0.013745245,0.053832427,0.0,0.0
1980-07-28 12:00:00,0.0,0.035662238,0.060032446,0.0,4.574537,0.03203534,0.0
1980-07-29 12:00:00,0.0,0.0,0.004633442,2.350339,2.2192392,1.7967037,0.0
1980-07-30 12:00:00,0.0,0.012030747,2.9094896,0.0,0.021475405,0.0,0.0
1980-07-31 12:00:00,0.0,4.9151134,0.0,0.0,0.020346567,1.4215813,0.012936036
1980-08-01 12:00:00,1.4840515,0.0,0.00045201724,0.0068311477,0.0,0.0118747465,0.0
1980-08-02 12:00:00,6.404295,0.05820065,0.0012272993,0.37710834,0.0,0.0,0.17647918
1980-08-03 12:00:00,0.06656386,0.055873055,0.0,0.0,0.020673245,0.03217511,0.5850516
1980-08-04 12:00:00,2.1475184,5.0351915,0.0,0.0,6.753253,0.18558405,10.284162
1980-08-05 12:00:00,1.8709223,1.1201789,0.0,0.0106355045,0.0,0.0,0.0
1980-08-06 12:00:00,0.53003997,0.009201027,0.30125868,0.009897255,0.0,1.0809797,0.0065412777
1980-08-07 12:00:00,0.0,4.9120693,0.0012829526,0.0,1.129653,0.0,0.008836015
1980-08-08 12:00:00,0.009142896,2.7032092,0.0,0.0,0.0,2.0147135,0.0
1980-08-09 12:00:00,0.0,0.7274651,0.0,1.4929805,0.08561321,0.0,0.0019426794
1980-08-10 12:00:00,0.0,0.0,0.16980071,0.2309595,0.0,31.49113,0.0
1980-08-11 12:00:00,0.0053459737,0.37152985,0.0,0.026539387,0.0,5.764225,0.14413525
1980-08-12 12:00:00,0.0,0.0,0.0,0.07392741,0.0033135053,0.09566439,0.0
1980-08-13 12:00:00,0.0,0.0,4.831821,0.6454762,6.252389,8.395088,0.0
1980-08-14 12:00:00,0.0,0.0,0.0,0.0,2.54905,21.612522,0.0
1980-08-15 12:00:00,0.0,0.24464437,0.0,0.11594241,0.0,0.22524187,0.0
1980-08-16 12:00:00,0.20060661,2.3360796,0.0,0.00040827363,0.0,2.0363457,0.0
1980-08-17 12:00:00,17.957726,1.991612,0.0,0.4185829,0.8328528,8.008696,0.0
1980-08-18 12:00:00,3.1984653,0.35649133,0.0,0.0,0.010319113,3.11418,0.0
1980-08-19 12:00:00,0.0,0.031470336,0.0,0.27319485,0.6713069,7.867427,0.58429134
1980-08-20 12:00:00,0.0,0.0,0.0,0.0023612855,2.4466035,0.007047452,2.3866997
1980-08-21 12:00:00,0.09268139,0.03094802,0.0,2.447051,2.6125107,1.1101611,0.28248736
1980-08-22 12:00:00,0.074606135,1.119792,0.0,0.7231586,0.6337108,5.423144,8.833099
1980-08-23 12:00:00,0.0,21.77766,0.0,0.039769437,9.625305,0.13817295,1.2821273
1980-08-24 12:00:00,0.0,4.809699,0.56149113,0.009552071,0.0,0.0,1.673815
1980-08-25 12:00:00,0.0,0.18803997,0.0,13.588478,0.0,0.007945064,0.0
1980-08-26 12:00:00,13.0849695,2.6191068,0.49489462,1.0066841,0.00040692172,2.3506088,0.0
1980-08-27 12:00:00,8.621712,0.25211313,0.0040660305,3.9906213,0.0,0.0,0.009020548
1980-08-28 12:00:00,0.0,2.182001,5.96499,0.2695592,0.56307,1.2891543,0.61128104
1980-08-29 12:00:00,0.0,0.0,8.734545,12.865614,0.0,9.368204,0.5236533
1980-08-30 12:00:00,0.06710732,0.0,18.392895,10.034048,0.6635566,8.1437,0.0051710154
1980-08-31 12:00:00,5.3622456,0.065000296,4.7900677,7.7307816,11.862763,0.0,0.0018071999
1980-09-01 12:00:00,30.79961,8.199444,0.0,8.986109,16.320969,0.24718827,0.0
1980-09-02 12:00:00,4.5274343,8.137042,0.0,21.144104,0.07873113,32.70678,0.0
1980-09-03 12:00:00,0.5409589,1.4528985,0.01807121,0.23135841,0.0012694335,5.838514,6.165891
1980-09-04 12:00:00,0.0,0.0,0.06686099,0.028781971,13.495644,0.65131253,22.354473
1980-09-05 12:00:00,0.0,0.0,0.0,1.2065212,8.369658,0.013978528,26.446701
1980-09-06 12:00:00,7.0468793,0.03020858,0.16183853,0.0,6.714568,1.2823546,15.586588
1980-09-07 12:00:00,0.40317374,0.0,0.0,0.0,3.8950503,6.325032,5.4383373
1980-09-08 12:00:00,0.0,0.95727396,0.02408784,0.0076015377,0.0,0.0,0.0
1980-09-09 12:00:00,0.0,2.062235,0.095769785,0.17594665,0.01375238,5.0879564,0.0
1980-09-10 12:00:00,0.0,14.96022,0.0,3.6071267,24.44115,9.568986,0.0
1980-09-11 12:00:00,0.055639032,0.03463515,1.8236421,2.317134,4.2643986,0.78359514,18.966717
1980-09-12 12:00:00,11.465471,7.8993917,0.0,0.0,9.808062,0.06521267,0.0002962591
1980-09-13 12:00:00,8.064535,13.275823,3.6354964,0.03518936,0.35733324,2.5108957,0.0
1980-09-14 12:00:00,0.0,4.1412845,5.770324,0.0695389,5.976866,0.31893826,2.6153436
1980-09-15 12:00:00,0.0,4.017453,0.0,0.13486592,2.49887,2.3317451,0.56003326
1980-09-16 12:00:00,0.0,0.050102003,0.32084256,0.01901086,0.32397145,8.185993,7.4891753
1980-09-17 12:00:00,0.0,4.036343,0.0,0.057835273,1.3664861,4.8182707,37.58149
1980-09-18 12:00:00,3.937989,14.625821,0.14537463,3.116918,13.02703,0.009929476,17.380508
