,0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,1.8212000000000002
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,1.5992000000000002
2021-08-01,2.4296
2021-08-02,0.0
2021-08-03,1.1896
2021-08-04,0.0
2021-08-05,2.146
2021-08-06,6.338000000000001
2021-08-07,20.557199999999998
2021-08-08,1.4964
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,4.586399999999999
2021-08-17,1.7944000000000002
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,3.6031999999999997
2021-08-21,2.1660000000000004
2021-08-22,2.4084
2021-08-23,0.402
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,5.644399999999999
2021-08-27,1.656
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.9364000000000001
2021-08-31,1.7187999999999999
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.8416000000000001
2021-09-05,0.0944
2021-09-06,0.0
2021-09-07,0.4464
2021-09-08,0.12279999999999999
2021-09-09,0.0
2021-09-10,0.40519999999999995
2021-09-11,4.782
2021-09-12,5.5948
2021-09-13,0.0
2021-09-14,8.669599999999997
2021-09-15,0.0
2021-09-16,3.6292
2021-09-17,64.3008
2021-09-18,19.887600000000003
2021-09-19,15.797199999999998
2021-09-20,3.4912
2021-09-21,0.0
2021-09-22,1.1584
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,33.1076
2021-09-27,17.3412
2021-09-28,17.067999999999998
2021-09-29,15.218399999999997
2021-09-30,29.3728
2021-10-01,0.12960000000000002
2021-10-02,0.6
2021-10-03,0.34840000000000004
2021-10-04,1.4596
2021-10-05,9.763199999999998
2021-10-06,9.673599999999999
2021-10-07,0.2756
2021-10-08,0.0
2021-10-09,15.190400000000002
2021-10-10,5.8596
2021-10-11,0.0
2021-10-12,8.3132
2021-10-13,2.8196000000000003
2021-10-14,10.425999999999998
2021-10-15,16.9208
2021-10-16,2.7224
2021-10-17,1.9471999999999996
2021-10-18,0.0
2021-10-19,2.0675999999999997
2021-10-20,11.054400000000001
2021-10-21,10.298
2021-10-22,10.101600000000001
2021-10-23,5.063600000000001
2021-10-24,16.0668
2021-10-25,21.096799999999995
2021-10-26,24.6548
2021-10-27,21.3412
2021-10-28,80.866
2021-10-29,7.8608
2021-10-30,0.0
2021-10-31,0.1364
2021-11-01,5.0904
2021-11-02,19.1828
2021-11-03,12.913999999999998
2021-11-04,38.44640000000001
2021-11-05,7.369199999999999
2021-11-06,15.7328
2021-11-07,12.008799999999999
2021-11-08,7.624399999999998
2021-11-09,21.732400000000002
2021-11-10,8.850000000000001
2021-11-11,40.8668
2021-11-12,37.163999999999994
2021-11-13,40.182
2021-11-14,54.656800000000004
2021-11-15,45.102799999999995
2021-11-16,6.607999999999999
2021-11-17,0.6516
2021-11-18,12.412400000000002
2021-11-19,2.1512000000000002
2021-11-20,0.268
2021-11-21,0.0
2021-11-22,10.923200000000001
2021-11-23,8.9296
2021-11-24,10.568800000000003
2021-11-25,49.72959999999999
2021-11-26,12.508000000000003
2021-11-27,45.8872
2021-11-28,35.492000000000004
2021-11-29,13.913199999999996
2021-11-30,36.7176
2021-12-01,17.578400000000002
2021-12-02,2.5924
2021-12-03,8.4592
2021-12-04,8.144799999999998
2021-12-05,5.3872
2021-12-06,9.776
2021-12-07,11.047199999999998
2021-12-08,8.4676
2021-12-09,12.440800000000001
2021-12-10,23.8812
2021-12-11,28.8284
2021-12-12,9.759199999999998
2021-12-13,11.681600000000001
2021-12-14,3.3960000000000004
2021-12-15,4.1228
2021-12-16,5.0332
2021-12-17,15.052800000000005
2021-12-18,34.952
2021-12-19,0.9144
2021-12-20,0.0
2021-12-21,18.1592
2021-12-22,28.028400000000005
2021-12-23,26.844799999999996
2021-12-24,15.235599999999994
2021-12-25,12.858400000000003
2021-12-26,6.1128
2021-12-27,3.8616
2021-12-28,0.0
2021-12-29,7.8439999999999985
2021-12-30,2.7144
2021-12-31,0.0
2022-01-01,0.5128
2022-01-02,30.9076
2022-01-03,17.131199999999996
2022-01-04,15.0852
2022-01-05,19.840799999999998
2022-01-06,55.76160000000001
2022-01-07,21.7264
2022-01-08,3.2467999999999995
2022-01-09,2.3624
2022-01-10,17.399200000000004
2022-01-11,46.074000000000005
2022-01-12,21.5064
2022-01-13,1.9472
2022-01-14,0.42800000000000005
2022-01-15,0.2032
2022-01-16,0.0
2022-01-17,8.4676
2022-01-18,2.6588
2022-01-19,20.669999999999995
2022-01-20,19.234400000000004
2022-01-21,0.0756
2022-01-22,0.0
2022-01-23,0.08
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,4.749599999999999
2022-01-30,22.109599999999997
2022-01-31,8.7376
2022-02-01,4.493600000000001
2022-02-02,9.926400000000001
2022-02-03,4.9004
2022-02-04,13.68
2022-02-05,2.4444
2022-02-06,0.992
2022-02-07,3.5044
2022-02-08,1.7848000000000004
2022-02-09,0.7676
2022-02-10,0.3927999999999999
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,2.4511999999999996
2022-02-14,4.8648
2022-02-15,2.5364000000000004
2022-02-16,1.48
2022-02-17,2.9019999999999997
2022-02-18,0.34119999999999995
2022-02-19,20.766399999999997
2022-02-20,7.666000000000001
2022-02-21,0.1364
2022-02-22,1.52
2022-02-23,5.2136000000000005
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,14.216
2022-02-27,35.5252
2022-02-28,65.68440000000001
2022-03-01,13.486400000000001
2022-03-02,17.187599999999996
2022-03-03,4.6436
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,2.9303999999999992
2022-03-08,1.3568
2022-03-09,0.0
2022-03-10,0.188
2022-03-11,2.0504
2022-03-12,3.0652000000000004
2022-03-13,6.9468
2022-03-14,22.9672
2022-03-15,23.888399999999997
2022-03-16,4.3916
2022-03-17,10.4328
2022-03-18,10.1588
2022-03-19,13.732400000000002
2022-03-20,13.935600000000004
2022-03-21,7.903199999999999
2022-03-22,2.0084
2022-03-23,10.507200000000001
2022-03-24,0.5004000000000001
2022-03-25,1.7204
2022-03-26,3.277599999999999
2022-03-27,2.182
2022-03-28,3.428000000000001
2022-03-29,2.9739999999999998
2022-03-30,3.1776
2022-03-31,1.5128000000000004
2022-04-01,4.556
2022-04-02,5.432800000000001
2022-04-03,29.192000000000007
2022-04-04,32.67719999999999
2022-04-05,27.1532
2022-04-06,0.0
2022-04-07,7.5531999999999995
2022-04-08,16.23
2022-04-09,9.6564
2022-04-10,5.622800000000002
2022-04-11,4.6764
2022-04-12,6.2476
2022-04-13,0.0672
2022-04-14,1.2316
2022-04-15,0.2
2022-04-16,4.761200000000001
2022-04-17,2.3644
2022-04-18,20.3444
2022-04-19,5.4656
2022-04-20,4.241599999999999
2022-04-21,3.6516000000000006
2022-04-22,1.7832
2022-04-23,0.0
2022-04-24,3.488
2022-04-25,7.049600000000002
2022-04-26,8.1988
2022-04-27,1.9908000000000001
2022-04-28,1.064
2022-04-29,1.6672000000000002
2022-04-30,4.548799999999999
2022-05-01,2.0428
2022-05-02,2.7835999999999994
2022-05-03,2.560400000000001
2022-05-04,7.8923999999999985
2022-05-05,18.4732
2022-05-06,8.598
2022-05-07,6.0943999999999985
2022-05-08,3.5300000000000007
2022-05-09,3.1076000000000006
2022-05-10,1.8563999999999998
2022-05-11,2.81
2022-05-12,14.7252
2022-05-13,5.714399999999999
2022-05-14,9.444799999999997
2022-05-15,23.206400000000002
2022-05-16,6.348800000000001
2022-05-17,7.657600000000001
2022-05-18,16.641199999999998
2022-05-19,3.5348
2022-05-20,2.3056
2022-05-21,1.6268000000000002
2022-05-22,0.0
2022-05-23,0.11960000000000001
2022-05-24,4.9388
2022-05-25,2.9804000000000004
2022-05-26,12.275999999999996
2022-05-27,12.512000000000002
2022-05-28,7.290800000000002
2022-05-29,10.400799999999998
2022-05-30,3.0444
2022-05-31,0.19079999999999997
2022-06-01,1.7952
2022-06-02,6.700400000000002
2022-06-03,12.320400000000001
2022-06-04,11.230400000000001
2022-06-05,16.9436
2022-06-06,1.4984
2022-06-07,6.2308
2022-06-08,3.0379999999999994
2022-06-09,38.79600000000001
2022-06-10,7.3336000000000015
2022-06-11,4.8836
2022-06-12,10.714400000000001
2022-06-13,10.213199999999999
2022-06-14,1.9295999999999998
2022-06-15,4.2863999999999995
2022-06-16,2.5124
2022-06-17,3.6132
2022-06-18,3.5383999999999998
2022-06-19,1.0376
2022-06-20,0.0
2022-06-21,2.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,6.375199999999998
2022-06-29,0.4336
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,6.271599999999999
2022-07-03,10.622400000000003
2022-07-04,0.40840000000000004
2022-07-05,2.2328
2022-07-06,3.8148
2022-07-07,2.1448
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.1112
2022-07-16,0.0
2022-07-17,3.2779999999999996
2022-07-18,0.7028
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,2.939599999999999
2022-08-04,0.9652000000000001
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.34240000000000004
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.2652
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,3.6663999999999994
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,0.0
2022-09-12,1.5727999999999998
2022-09-13,3.6404
2022-09-14,0.0
2022-09-15,1.9484000000000004
2022-09-16,2.0956
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
